country,count_of_country
Argentina,24
Armenia,1
Australia,38
Austria,8
Azerbaijan,2
Bahrain,2
Bangladesh,4
Belarus,3
Belgium,9
Bolivia,2
Bosnia and Herzegovina,1
Brazil,27
Brunei,2
Bulgaria,1
Canada,28
Chile,20
China (Mainland),58
Colombia,19
Costa Rica,3
Croatia,4
Cuba,3
Cyprus,1
Czech Republic,15
Denmark,5
Ecuador,7
Egypt,13
Estonia,3
Finland,9
France,32
Georgia,1
Germany,46
Ghana,1
Greece,6
Honduras,1
Hong Kong SAR,7
Hungary,9
India,35
Indonesia,16
"Iran, Islamic Republic of",6
Iraq,5
Ireland,8
Israel,6
Italy,41
Japan,48
Jordan,8
Kazakhstan,14
Kenya,1
Kuwait,3
Latvia,3
Lebanon,8
Lithuania,4
Macau SAR,2
Malaysia,22
Malta,1
Mexico,24
Morocco,1
Netherlands,13
New Zealand,8
Norway,4
Oman,1
Pakistan,11
"Palestinian Territory, Occupied",3
Panama,2
Paraguay,1
Peru,8
Philippines,4
Poland,19
Portugal,7
Puerto Rico,1
Qatar,1
Romania,11
Russia,48
Saudi Arabia,14
Serbia,4
Singapore,3
Slovakia,6
Slovenia,2
South Africa,9
South Korea,39
Spain,29
Sri Lanka,2
Sudan,2
Sweden,8
Switzerland,10
Syrian Arab Republic,1
Taiwan,25
Thailand,10
Tunisia,3
Turkey,21
Uganda,1
Ukraine,8
United Arab Emirates,10
United Kingdom,90
United States,177
Uruguay,4
Venezuela,5
Vietnam,4
